model,question,expected,generated,rouge1,rougeL
Baseline,What are the primary mechanisms underlying hyperte...,Essential hypertension results from a combination of genetic and environmental factors that affect c...,"strategies emphasize upstream determinants of risk for chronic diseases, such as eating patterns, ph...",0.15,0.125
RAG_GPT3.5,What are the primary mechanisms underlying hyperte...,Essential hypertension results from a combination of genetic and environmental factors that affect c...,The primary mechanisms underlying hypertension in essential hypertension include increased periphera...,0.4175824175824176,0.2857142857142857
RAG_GPT4,What are the primary mechanisms underlying hyperte...,Essential hypertension results from a combination of genetic and environmental factors that affect c...,"Essential hypertension, also known as primary hypertension, is a complex condition characterized by ...",0.32098765432098764,0.18106995884773663
Baseline,Explain the pathophysiology and clinical manifesta...,Congestive heart failure occurs when the heart cannot maintain adequate cardiac output to meet the b...,"response in prospective trials. As phenotyping became more refined (e.g., echocardiographic assessme...",0.08,0.05333333333333334
RAG_GPT3.5,Explain the pathophysiology and clinical manifesta...,Congestive heart failure occurs when the heart cannot maintain adequate cardiac output to meet the b...,Congestive heart failure (CHF) is a chronic condition in which the heart is unable to pump enough bl...,0.22009569377990432,0.1722488038277512
RAG_GPT4,Explain the pathophysiology and clinical manifesta...,Congestive heart failure occurs when the heart cannot maintain adequate cardiac output to meet the b...,"**Pathophysiology of Congestive Heart Failure (CHF)**

Congestive heart failure (CHF) is a complex c...",0.2755905511811023,0.1732283464566929
Baseline,Discuss the causes and management of iron deficien...,"Iron deficiency anemia occurs due to inadequate dietary intake, chronic blood loss (especially gastr...","Beginning in the mid-twentieth century, the era of molecular medicine offered the idealized possibil...",0.08333333333333331,0.08333333333333331
RAG_GPT3.5,Discuss the causes and management of iron deficien...,"Iron deficiency anemia occurs due to inadequate dietary intake, chronic blood loss (especially gastr...",Iron deficiency anemia is a common type of anemia that occurs when the body does not have enough iro...,0.29702970297029707,0.2277227722772277
RAG_GPT4,Discuss the causes and management of iron deficien...,"Iron deficiency anemia occurs due to inadequate dietary intake, chronic blood loss (especially gastr...","**Iron Deficiency Anemia: Causes and Management**

**Overview:**
Iron deficiency anemia (IDA) is a c...",0.21367521367521367,0.12820512820512822
Baseline,Describe the etiology and diagnostic approach to c...,Chronic kidney disease results from progressive loss of renal function over months to years. Common ...,"cost. For example, abnormalities of hepatic function may provide the clue to nonspecific symptoms su...",0.2631578947368421,0.15789473684210525
RAG_GPT3.5,Describe the etiology and diagnostic approach to c...,Chronic kidney disease results from progressive loss of renal function over months to years. Common ...,"Chronic kidney disease (CKD) has various etiologies, but the most common causes include diabetes, hy...",0.30927835051546393,0.23711340206185566
RAG_GPT4,Describe the etiology and diagnostic approach to c...,Chronic kidney disease results from progressive loss of renal function over months to years. Common ...,"### Etiology of Chronic Kidney Disease (CKD)

Chronic Kidney Disease (CKD) is a progressive loss of ...",0.26126126126126126,0.18018018018018017
Baseline,Outline the pathogenesis and treatment of type 2 d...,Type 2 diabetes mellitus arises from insulin resistance and progressive beta-cell dysfunction. Risk ...,"FIGURE 8-3 The Chronic Care Model, which focuses on improving care for chronic diseases, suggests th...",0.0273972602739726,0.0273972602739726
RAG_GPT3.5,Outline the pathogenesis and treatment of type 2 d...,Type 2 diabetes mellitus arises from insulin resistance and progressive beta-cell dysfunction. Risk ...,"Pathogenesis of Type 2 Diabetes Mellitus:
1. Insulin Resistance: In type 2 diabetes, the body's cell...",0.22340425531914893,0.1702127659574468
RAG_GPT4,Outline the pathogenesis and treatment of type 2 d...,Type 2 diabetes mellitus arises from insulin resistance and progressive beta-cell dysfunction. Risk ...,"### Pathogenesis of Type 2 Diabetes Mellitus

Type 2 diabetes mellitus (T2DM) is a complex metabolic...",0.14782608695652172,0.1217391304347826
Baseline,"Explain the mechanisms, diagnosis, and management ...",Acute MI results from rupture or erosion of an atherosclerotic plaque leading to thrombotic occlusio...,"dyspnea, the patient developed nausea and vomiting and collapsed. He was brought back to the ED in c...",0.11764705882352941,0.07058823529411766
RAG_GPT3.5,"Explain the mechanisms, diagnosis, and management ...",Acute MI results from rupture or erosion of an atherosclerotic plaque leading to thrombotic occlusio...,"Acute myocardial infarction (MI), commonly known as a heart attack, occurs when there is a sudden bl...",0.29126213592233013,0.18446601941747573
RAG_GPT4,"Explain the mechanisms, diagnosis, and management ...",Acute MI results from rupture or erosion of an atherosclerotic plaque leading to thrombotic occlusio...,"### Mechanisms of Acute Myocardial Infarction (MI)

Acute myocardial infarction (MI) occurs when the...",0.20883534136546186,0.13654618473895583
Baseline,Discuss the differential diagnosis and management ...,FUO is defined as a fever >38.3°C lasting more than three weeks without an established diagnosis aft...,■ DIAGNOSIS SAFETY CULTURE Just as diagnosing bacterial infections relies on a proper culture medium...,0.1728395061728395,0.09876543209876544
RAG_GPT3.5,Discuss the differential diagnosis and management ...,FUO is defined as a fever >38.3°C lasting more than three weeks without an established diagnosis aft...,Fever of unknown origin (FUO) is a challenging clinical scenario characterized by persistent fever w...,0.24444444444444444,0.17777777777777778
RAG_GPT4,Discuss the differential diagnosis and management ...,FUO is defined as a fever >38.3°C lasting more than three weeks without an established diagnosis aft...,Fever of Unknown Origin (FUO) is defined as a fever greater than 38.3°C (101°F) that persists for mo...,0.3553299492385787,0.2639593908629442
Baseline,Describe the clinical features and treatment of ch...,"COPD is characterized by airflow limitation due to chronic bronchitis and/or emphysema, usually from...",implemented together with a high degree of fidelity. Many hospitals have implemented a bundle for ve...,0.05555555555555555,0.027777777777777776
RAG_GPT3.5,Describe the clinical features and treatment of ch...,"COPD is characterized by airflow limitation due to chronic bronchitis and/or emphysema, usually from...",Chronic obstructive pulmonary disease (COPD) is a chronic inflammatory lung disease characterized by...,0.30000000000000004,0.2111111111111111
RAG_GPT4,Describe the clinical features and treatment of ch...,"COPD is characterized by airflow limitation due to chronic bronchitis and/or emphysema, usually from...",Chronic Obstructive Pulmonary Disease (COPD) is a progressive lung disease characterized by persiste...,0.23318385650224213,0.179372197309417
Baseline,Explain the causes and management of hyponatremia....,Hyponatremia is defined as a serum sodium <135 mmol/L and results from excess water retention relati...,per year when patients were called to assess whether they had had a problem with one of their medica...,0.05063291139240506,0.02531645569620253
RAG_GPT3.5,Explain the causes and management of hyponatremia....,Hyponatremia is defined as a serum sodium <135 mmol/L and results from excess water retention relati...,Hyponatremia is a condition characterized by low levels of sodium in the blood. It can be caused by ...,0.26881720430107525,0.21505376344086022
RAG_GPT4,Explain the causes and management of hyponatremia....,Hyponatremia is defined as a serum sodium <135 mmol/L and results from excess water retention relati...,"### Causes of Hyponatremia

Hyponatremia is defined as a serum sodium concentration of less than 135...",0.30303030303030304,0.2121212121212121
Baseline,Discuss the approach to a patient with syncope....,Syncope is a transient loss of consciousness due to cerebral hypoperfusion. The evaluation includes ...,that can lead to additional anxiety. The patient must be given an opportunity to speak with the phys...,0.15584415584415584,0.1038961038961039
RAG_GPT3.5,Discuss the approach to a patient with syncope....,Syncope is a transient loss of consciousness due to cerebral hypoperfusion. The evaluation includes ...,"When approaching a patient with syncope, it is important for the physician to conduct a thorough his...",0.25,0.19791666666666666
RAG_GPT4,Discuss the approach to a patient with syncope....,Syncope is a transient loss of consciousness due to cerebral hypoperfusion. The evaluation includes ...,The approach to a patient with syncope involves a systematic evaluation to determine the underlying ...,0.21551724137931033,0.15517241379310345
